Time;Peak to Peak (Axial);Peak to Peak (Radial);Peak to Peak (Tangential);Motor Supply Frequency ;Output Power;Temperature ;Overall Vibration ;Bearing Conditions 
06/29/2022 17:32:43;0.6641;0.6484;1.7578;28;3.20;55;4.024;1
06/29/2022 18:32:43;0.5781;0.7422;1.6406;28;9.24;55;4.292;1
06/29/2022 19:32:43;0.7422;0.6953;1.4922;28;2.05;55;3.985;1
06/29/2022 20:32:44;0.6563;0.7813;1.3281;28;3.09;55;3.526;0
06/29/2022 21:32:44;0.7422;0.8672;2.0703;28;4.90;56;6.859;1
06/29/2022 22:32:44;0.6563;0.7344;1.6484;28;1.82;55;5.748;1
06/29/2022 23:32:44;0.6875;0.7578;1.1250;29;5.51;55;3.640;1
06/30/2022 00:32:45;0.7031;0.8125;2.0391;28;5.30;55;7.473;1
06/30/2022 01:32:45;0.8203;0.7891;1.6016;29;11.00;55;5.595;1
06/30/2022 02:32:45;0.8438;0.7578;1.3594;10;0.53;55;4.560;1
06/30/2022 03:32:46;0.7344;0.7109;1.5156;28;3.15;55;6.361;1
06/30/2022 04:32:46;0.8203;0.6719;1.5859;28;3.30;55;4.867;1
06/30/2022 05:32:46;0.6172;0.8594;1.7813;28;3.61;56;4.675;1
06/30/2022 06:32:46;0.7578;0.8125;1.3672;28;4.78;55;4.292;1
06/30/2022 07:32:47;0.8203;0.7188;1.1797;28;6.86;55;4.292;1
06/30/2022 08:32:47;0.7188;0.7813;1.6406;28;10.30;56;6.629;1
06/30/2022 09:32:47;0.2500;0.2344;0.5469;28;4.08;57;2.223;1
06/30/2022 10:32:48;0.9297;1.1016;2.0547;28;13.04;54;6.131;1
06/30/2022 11:32:48;1.0781;1.1016;2.0469;28;1.80;55;5.671;1
06/30/2022 12:32:48;0.8594;0.8984;2.1328;28;1.94;55;6.438;1
06/30/2022 13:32:48;0.7969;1.0078;2.1797;28;8.19;55;6.285;1
06/30/2022 14:32:49;0.7500;0.8750;2.0625;28;2.43;56;5.786;1
06/30/2022 15:32:49;0.7891;0.9297;2.0781;28;2.16;56;7.204;1
06/30/2022 16:32:49;0.5703;0.6641;1.6172;28;3.25;56;4.330;1
06/30/2022 17:32:49;0.6641;0.6953;1.8359;28;4.32;55;5.901;1
06/30/2022 18:32:50;0.6563;0.8750;2.0781;28;4.39;56;7.051;1
06/30/2022 19:32:50;0.7734;0.8203;2.2422;28;4.52;55;7.511;1
06/30/2022 20:32:50;0.8047;0.8203;2.1797;28;2.57;56;7.626;1
06/30/2022 21:32:51;0.7266;0.6719;1.4297;28;2.51;56;4.369;0
06/30/2022 22:32:51;0.7344;0.7031;1.7813;28;0.66;56;4.790;0
06/30/2022 23:32:51;0.6641;0.8359;2.1875;28;4.22;56;7.281;0
07/01/2022 00:32:51;0.8438;0.8672;2.1953;28;5.88;56;6.246;1
07/01/2022 01:32:52;0.8906;0.8594;1.6797;28;0.71;56;4.790;1
07/01/2022 03:32:52;0.7656;0.9453;2.0156;28;4.45;56;5.940;1
07/01/2022 04:32:52;0.8828;0.9375;2.0234;28;2.95;56;6.170;1
07/01/2022 05:32:53;0.8125;0.8203;1.9766;28;4.05;56;5.480;1
07/01/2022 06:32:53;0.9922;0.9922;1.8906;28;3.30;55;6.246;1
07/01/2022 07:32:53;0.7813;0.8672;1.9609;28;4.99;55;6.131;1
07/01/2022 08:32:54;0.8203;0.9063;2.0313;28;1.78;55;5.940;1
07/01/2022 09:32:54;0.4453;0.2578;0.5391;28;6.55;57;1.456;1
07/01/2022 10:32:54;0.7031;0.7188;1.8281;28;1.56;54;5.250;1
07/01/2022 11:32:54;0.7578;0.7500;2.0078;28;9.29;55;5.595;1
07/01/2022 12:32:55;0.9688;1.0547;2.0391;28;4.18;55;6.515;1
07/01/2022 13:32:55;0.7578;0.8750;2.1016;28;3.21;56;5.671;1
07/01/2022 14:32:55;0.7891;0.8516;2.0547;28;1.68;56;6.744;1
07/01/2022 15:32:56;0.7500;0.8203;2.2109;28;2.22;56;6.898;1
07/01/2022 16:32:56;0.7266;0.8594;1.8438;28;3.94;56;4.828;2
07/01/2022 17:32:56;0.7422;0.8359;1.8984;28;2.05;56;5.327;1
07/01/2022 18:32:56;0.7969;0.8906;1.9219;28;9.43;56;5.940;1
07/01/2022 19:32:57;0.6328;0.7734;1.7969;28;1.96;56;6.016;2
07/01/2022 20:32:57;0.8672;0.9766;2.0000;28;9.60;56;6.361;2
07/01/2022 21:32:57;0.7031;0.7500;1.6797;28;4.78;56;4.484;1
07/01/2022 22:32:57;0.8125;0.9063;1.9531;28;2.03;56;6.016;1
07/01/2022 23:32:58;0.7422;0.8828;2.1094;28;3.56;56;6.553;1
07/02/2022 00:32:58;0.6719;0.8438;1.9219;28;3.70;56;6.093;1
07/02/2022 02:32:59;0.7109;0.7891;2.0000;28;3.47;56;6.553;1
07/02/2022 05:32:59;0.6953;0.8438;1.7422;20;3.56;55;5.020;1
07/02/2022 06:33:00;0.8359;0.9375;2.0391;28;1.70;56;5.748;1
07/02/2022 07:33:00;0.7422;0.7734;1.5781;28;5.06;55;4.752;1
07/02/2022 08:33:00;0.2266;0.3281;0.5859;28;4.19;56;1.954;1
07/02/2022 09:33:01;0.7031;0.7031;1.5313;30;4.16;56;3.909;1
07/02/2022 10:33:01;0.5078;0.4766;0.6563;28;1.98;57;1.993;1
07/02/2022 11:33:01;0.2578;0.2422;0.5703;28;5.15;58;2.414;2
07/02/2022 12:33:01;0.2109;0.2578;0.6875;28;1.61;57;1.610;2
07/02/2022 13:33:02;0.5469;0.5547;0.8359;28;8.85;56;2.414;1
07/02/2022 14:33:02;1.0000;0.9375;1.9063;28;3.74;56;5.786;1
07/02/2022 15:33:02;1.0313;1.0703;2.0625;28;2.68;56;6.859;1
07/02/2022 16:33:02;0.9453;0.9219;1.6719;28;4.06;57;5.097;1
07/02/2022 17:33:03;0.7969;0.7422;1.9063;28;4.08;57;5.058;1
07/02/2022 18:33:03;0.8047;0.7734;1.8594;27;3.44;57;5.173;1
07/02/2022 19:33:03;0.7656;0.8828;2.1953;27;5.08;57;7.243;1
07/02/2022 20:33:04;0.9609;1.0078;1.8281;28;7.70;57;6.131;2
07/02/2022 21:33:04;0.7031;0.8516;1.8594;28;1.35;57;5.097;1
07/02/2022 22:33:04;0.7734;0.8516;1.8047;28;12.11;57;5.978;2
07/02/2022 23:33:04;0.7266;0.8125;1.8672;28;7.30;57;4.828;0
07/03/2022 00:33:05;0.8594;0.8672;1.9219;28;6.45;57;5.556;0
07/03/2022 01:33:05;0.7578;0.8125;1.7891;28;4.20;57;5.403;1
07/03/2022 02:33:05;0.9531;1.0781;2.3281;28;4.31;56;7.741;1
07/03/2022 03:33:06;0.7422;0.7109;1.6016;28;2.69;56;4.292;1
07/03/2022 04:33:06;0.8047;0.7891;2.0078;28;2.24;56;5.978;1
07/03/2022 05:33:06;0.6016;0.6797;1.5313;28;2.82;56;4.254;1
07/03/2022 06:33:06;0.6875;0.7266;1.9844;28;0.73;56;6.898;1
07/03/2022 07:33:07;0.7344;0.7344;1.9141;28;2.22;56;7.089;1
07/03/2022 08:33:07;0.7188;0.7109;1.3672;28;2.51;56;3.870;2
07/03/2022 09:33:07;0.6406;0.8750;2.1797;28;7.86;56;6.438;1
07/03/2022 10:33:07;0.7734;0.7969;1.8828;28;3.46;57;7.089;1
07/03/2022 11:33:08;0.7344;0.6875;1.5313;28;3.02;57;4.905;1
07/03/2022 12:33:08;0.7813;0.8828;2.0625;27;3.69;57;6.438;1
07/03/2022 13:33:08;0.7266;0.8828;1.6875;28;2.52;57;4.407;1
07/03/2022 14:33:09;0.6406;0.6875;1.6641;29;2.98;57;6.744;1
07/03/2022 15:33:09;0.7188;0.7266;1.6328;28;3.45;57;4.254;1
07/03/2022 16:33:09;0.6563;0.6953;1.5938;28;5.48;57;3.870;1
07/03/2022 17:33:09;0.7109;0.7734;1.8984;28;4.78;57;7.587;1
07/03/2022 18:33:10;0.7969;0.8438;1.9766;28;7.48;57;7.243;1
07/03/2022 19:33:10;0.5469;0.7734;1.5391;28;2.60;57;3.909;1
07/03/2022 20:33:10;0.8594;0.8047;1.8047;29;11.68;57;5.595;1
07/03/2022 21:33:11;0.7578;0.7500;1.8203;27;12.70;58;5.250;2
07/03/2022 22:33:11;0.7969;0.7266;1.6172;28;2.13;59;7.166;2
07/03/2022 23:33:11;0.7813;0.7969;1.7266;28;7.96;59;4.867;1
07/04/2022 00:33:11;0.7422;0.8125;1.8438;28;2.88;59;7.587;1
07/04/2022 01:33:12;0.3750;0.4375;0.9219;28;5.25;60;2.184;1
07/04/2022 02:33:12;0.6719;0.7109;1.8047;28;4.13;59;5.863;1
07/04/2022 03:33:12;0.7422;0.8047;1.9219;28;3.82;58;5.671;1
07/04/2022 04:33:13;0.9063;0.8125;1.4688;28;6.18;57;5.480;1
07/04/2022 07:33:13;0.7422;0.8047;1.7500;28;3.08;57;5.595;1
07/04/2022 08:33:14;0.6563;0.8047;1.7969;28;3.34;57;6.131;1
07/04/2022 09:33:14;0.7734;0.7891;1.5703;29;15.06;58;4.828;1
07/04/2022 10:33:14;0.7188;0.7266;1.6016;28;2.25;58;4.330;1
07/04/2022 11:33:14;0.5938;0.7656;1.8828;28;3.53;58;7.281;1
07/04/2022 12:33:15;0.6719;0.8750;1.8594;28;2.84;58;7.664;1
07/04/2022 13:33:15;0.7031;0.7656;1.9219;28;2.68;58;7.319;1
07/04/2022 14:33:15;0.2500;0.2734;0.5391;28;5.43;59;2.644;1
07/04/2022 15:33:16;0.3281;0.2656;0.6016;28;1.79;58;1.150;1
07/04/2022 16:33:16;0.4844;0.3359;0.7813;28;3.50;58;1.763;1
07/04/2022 17:33:16;0.6563;0.8594;1.7109;28;3.02;55;5.327;1
07/04/2022 18:33:16;0.6797;0.7813;1.5625;28;1.80;56;4.292;1
07/04/2022 19:33:17;0.7656;0.8516;2.1484;28;4.93;57;8.086;1
07/04/2022 20:33:17;0.7344;0.7813;1.6719;28;1.66;57;4.675;2
07/04/2022 21:33:17;0.7344;0.7891;1.7656;28;3.62;57;4.637;1
07/04/2022 22:33:18;0.6328;0.8359;1.9531;28;4.17;57;5.212;1
07/04/2022 23:33:18;0.8281;0.7734;1.8594;28;3.19;57;5.786;1
07/05/2022 00:33:18;0.7422;0.7344;1.9453;28;3.38;57;7.434;1
07/05/2022 01:33:18;0.7109;0.7266;1.6406;28;8.07;57;5.556;1
07/05/2022 02:33:19;0.7266;0.7813;1.6172;28;10.36;57;4.177;1
07/05/2022 03:33:19;0.7578;0.7031;1.4453;28;1.41;57;3.679;1
07/05/2022 04:33:19;0.7813;0.8516;1.8047;28;1.00;57;7.434;1
07/05/2022 05:33:20;0.7891;0.8672;1.8672;28;1.80;57;5.556;1
07/05/2022 06:33:20;0.7188;0.7344;1.7344;28;1.85;57;4.637;1
07/05/2022 07:33:20;0.6953;0.7500;1.6719;28;0.62;57;4.292;1
07/05/2022 08:33:20;0.7188;0.9297;2.0234;28;4.07;57;5.288;1
07/05/2022 09:33:21;0.7266;0.8047;1.8281;28;1.86;58;5.710;1
07/05/2022 10:33:21;0.7891;0.8203;1.6953;28;3.64;58;4.905;1
07/05/2022 11:33:21;0.7031;0.7422;1.8125;29;2.44;58;6.553;1
07/05/2022 12:33:21;0.6719;0.8281;1.9844;29;2.23;58;7.587;1
07/05/2022 13:33:22;0.7109;0.9844;2.1016;29;9.41;58;7.549;1
07/05/2022 14:33:22;0.7734;0.8359;1.9688;29;1.18;59;7.013;1
07/05/2022 15:33:22;0.6953;0.7422;1.3203;29;1.39;59;3.794;1
07/05/2022 16:33:23;0.5859;0.7578;1.6094;29;0.77;59;7.243;1
07/05/2022 17:33:23;0.7266;0.8203;1.6719;29;0.69;59;3.832;1
07/05/2022 18:33:23;0.9688;0.7734;1.3828;28;2.10;59;4.407;1
07/05/2022 19:33:23;0.7188;0.7188;1.0859;28;5.73;59;3.296;1
07/05/2022 20:33:24;0.7891;0.7188;1.4297;28;4.99;59;5.786;1
07/05/2022 21:33:24;0.8672;0.7031;1.5547;28;6.67;59;6.285;1
07/05/2022 22:33:24;0.7578;0.6406;1.2422;28;4.44;58;3.449;1
07/05/2022 23:33:25;0.9141;0.7734;1.3594;28;2.54;58;4.177;1
07/06/2022 00:33:25;0.8047;0.7188;1.5703;28;1.82;58;6.898;1
07/06/2022 01:33:25;0.9531;0.8281;1.5313;28;2.46;58;7.396;1
07/06/2022 02:33:25;0.7188;0.7422;1.2188;28;4.15;59;3.985;1
07/06/2022 03:33:26;0.8906;0.7109;1.5938;28;5.23;58;7.664;0
07/06/2022 04:33:26;0.6641;0.7344;1.6250;29;12.51;58;6.515;1
07/06/2022 05:33:26;0.6719;0.7578;1.4609;28;1.46;58;4.407;0
07/06/2022 06:33:27;0.6250;0.6953;1.5938;28;2.72;58;5.480;0
07/06/2022 07:33:27;0.8203;0.8281;1.6797;28;1.10;58;5.365;0
07/06/2022 08:33:27;0.8203;0.9766;1.5781;28;2.96;58;4.369;0
07/06/2022 09:33:27;0.5781;0.7031;1.3672;28;3.56;59;5.212;1
07/06/2022 10:33:28;0.6406;0.7500;1.6172;28;2.78;59;5.442;1
07/06/2022 11:33:28;0.6016;0.6484;1.4609;28;1.89;59;4.177;1
07/06/2022 12:33:28;0.7813;0.8516;1.8594;28;1.38;59;7.396;1
07/06/2022 13:33:29;0.5625;0.8828;1.7344;28;1.35;60;6.821;1
07/06/2022 14:33:29;0.7813;0.8438;1.8047;28;7.42;60;7.243;0
07/06/2022 15:33:29;0.5703;0.8047;1.4219;28;5.81;60;3.334;1
07/06/2022 16:33:29;0.7344;0.7422;1.3594;28;3.11;59;5.212;1
07/06/2022 17:33:30;0.7422;0.8047;1.6484;28;2.13;59;5.825;2
07/06/2022 18:33:30;0.7813;0.9531;1.8672;28;2.15;59;6.859;2
07/06/2022 19:33:30;0.7344;1.0078;1.8203;28;2.28;59;8.009;2
07/06/2022 20:33:31;0.7422;0.8359;1.6641;28;1.61;59;7.166;1
07/06/2022 21:33:31;0.9063;0.9453;1.6172;28;2.42;59;6.476;1
07/06/2022 22:33:31;0.6094;0.7188;1.4766;28;5.55;59;4.254;1
07/06/2022 23:33:31;0.7422;0.8438;1.6563;28;10.56;58;6.706;1
07/07/2022 00:33:32;0.7422;0.8281;1.5469;28;8.62;58;3.755;1
07/07/2022 01:33:32;0.9688;0.7109;1.4609;28;3.34;58;6.055;1
07/07/2022 02:33:32;0.7969;0.8125;1.5469;28;1.74;58;5.480;1
07/07/2022 03:33:32;0.7266;0.7656;1.2266;28;2.55;58;2.797;1
07/07/2022 04:33:33;0.8281;0.7578;1.3047;28;12.74;57;2.951;2
07/07/2022 05:33:33;0.7344;1.0078;1.7188;28;2.18;57;6.974;1
07/07/2022 06:33:33;0.7578;0.6953;1.6875;29;4.47;57;7.549;2
07/07/2022 07:33:34;0.7813;0.8672;1.6484;28;4.43;57;6.553;1
07/07/2022 08:33:34;0.6875;0.7578;1.4453;29;11.43;58;3.219;1
07/07/2022 09:33:34;0.7109;0.7891;1.5703;29;5.11;57;3.296;1
07/07/2022 10:33:34;0.7422;0.7266;1.6484;28;0.57;58;6.553;2
